Galaxy,Type,GEODESIC_chi2,GEODESIC_AIC,GEODESIC_BIC,MOND_chi2,MOND_AIC,MOND_BIC
NGC4100,spiral,78.94585698123022,1817.7547105682952,1818.932764398643,28.295908595984177,652.8058977076361,653.983951537984
NGC4138,spiral,73.43934085133493,442.6360451080096,442.5819552570649,14.256789937614153,87.54073962568492,87.48664977474023
NGC4157,super-spiral,91.15947216204893,1460.5515545927828,1461.3847679368391,71.16012619800935,1140.5620191681496,1141.395232512206
NGC4183,spiral,56.45410425184212,1243.9902935405266,1245.1257877564558,52.124893225898376,1148.7476509697642,1149.8831451856934
NGC4214,spiral,28.44513422544774,371.78674493082065,372.4258022604359,31.290343891459056,408.77447058896774,409.413527918583
NGC4217,spiral,104.55780069949523,1884.0404125909142,1884.9848515700808,129.44643220825213,2332.0357797485385,2332.980218727705
NGC4389,spiral,45.89980137216586,231.4990068608293,231.29076633005735,54.1444328998257,272.7221644991285,272.51392396835655
NGC4559,spiral,60.31404361850431,1871.7353521736336,1873.2010880764333,64.4927095970175,2001.2739975075424,2002.739733410342
NGC5005,uncertain,105.15454884413187,1789.6273303502417,1790.5177021081379,71.89930137656785,1224.2881234016534,1225.1784951595496
NGC5033,super-spiral,89.31256299346155,1877.5638228626926,1878.654865316051,76.37376026351258,1605.8489655337642,1606.9400079871225
NGC5055,super-spiral,75.23456931948789,2033.3333716261732,2034.6655761363484,81.83876810627004,2211.646738869291,2212.9789433794663
NGC5371,super-spiral,99.31169698439587,1789.6105457191256,1790.5549846982922,62.70576923499883,1130.703846229979,1131.6482852091456
NGC5585,spiral,41.77416711376355,962.8058436165618,963.9838974469097,74.90456017385172,1724.8048839985897,1725.9829378289376
NGC5907,super-spiral,104.25868936972887,1878.6564086551195,1879.600847634286,26.888423799024977,485.9916283824496,486.93606736161604
NGC5985,super-spiral,129.43042456526845,4143.7735860885905,4145.270093650057,41.44329678673975,1328.185497175672,1329.6820047371384
NGC6015,spiral,80.10370321734271,3446.4592383457366,3448.243427979655,124.5876904925733,5359.270691180652,5361.05488081457
NGC6195,super-spiral,111.90455352529729,2463.9001775565403,2465.0356717724694,66.96070099252577,1475.135421835567,1476.2709160514962
NGC6503,spiral,55.82405938375336,1676.7217815126007,1678.155768717086,38.870308748659276,1168.1092624597784,1169.5432496642636
NGC6674,super-spiral,120.99828941366069,1695.9760517912496,1696.6841019923518,84.33369772778649,1182.671768189011,1183.379818390113
NGC6789,uncertain,18.894675424406504,58.684026273219516,58.0703206343394,38.50860442760163,117.52581328280489,116.91210764392478
NGC6946,spiral,76.41141293958957,4357.450537556605,4359.510980567152,71.93171459304713,4102.107731803687,4104.168174814234
NGC7331,super-spiral,96.51911244348175,3380.168935521861,3381.752454460317,36.62155829046073,1283.7545401661257,1285.3380591045818
NGC7793,spiral,49.155238101533236,2213.9857145689957,2215.814355965485,84.89395105502219,3822.2277974759986,3824.056438872488
NGC7814,super-spiral,85.38175113418399,1453.4897692811278,1454.380141039024,50.75088278925448,864.7650074173262,865.6553791752224
PGC51017,dwarf,6.392122480445299,33.960612402226495,33.75237187145455,3.4937313673527974,19.468656836763987,19.26041630599204
UGC00128,spiral,70.89771308659245,1490.8519748184412,1491.9430172717996,108.69966887890784,2284.6930464570646,2285.7840889104227
UGC00191,spiral,27.351086390866868,220.80869112693495,221.00591570427116,29.558476025474846,238.46780820379877,238.66503278113498
UGC00634,spiral,39.05437499852818,119.16312499558455,118.54941935670445,24.580628854329493,75.74188656298848,75.12818092410838
UGC00731,spiral,33.44028886637323,369.8431775301055,370.3280841798935,30.26305208845192,334.8935729729711,335.37847962275913
UGC00891,spiral,33.09929375780179,134.39717503120715,134.00661294364124,25.440374903438244,103.76149961375297,103.37093752618708
UGC01230,spiral,73.81467632972917,740.1467632972916,740.54465857009,119.57015738283863,1197.7015738283862,1198.0994691011847
UGC01281,uncertain,49.515381703978015,1190.3691608954723,1191.5880367203406,141.90738391370982,3407.7772139290355,3408.9960897539036
UGC02023,uncertain,26.391949314089658,107.56779725635863,107.17723516879273,26.785530872402184,109.14212348960874,108.75156140204284
UGC02259,spiral,34.57164040601803,244.00148284212617,244.080924383806,22.50581485600561,159.54070399203928,159.62014553371912
UGC02455,uncertain,19.78731271056331,140.51118897394318,140.59063051562302,21.900189419097142,155.30132593368,155.38076747535985
UGC02487,super-spiral,129.266137647881,2070.258202366096,2071.0914157101524,38.149833331478945,612.3973333036631,613.2305466477193
UGC02885,super-spiral,140.6707909477916,2534.074237060249,2535.0186760394154,106.331602425223,1915.9688436540139,1916.9132826331804
UGC02916,super-spiral,81.01660451852827,3404.6973897781872,3406.458589893881,64.60053999865873,2715.2226799436667,2716.98388005936
UGC02953,super-spiral,98.09525424432992,11184.858983853612,11187.603915981976,143.80006569971323,16395.20748976731,16397.952421895672
UGC03205,super-spiral,96.42968530318991,4534.195209249926,4536.066410260833,131.9622212285233,6204.224397740595,6206.095598751503
UGC03546,super-spiral,40.40286845990185,1173.6831853371536,1175.0843827188157,40.605607741280515,1179.562624497135,1180.963821878797
UGC03580,spiral,43.04085360121029,1981.8792656556732,1983.7294132573832,50.647905978840704,2331.8036750266724,2333.6538226283824
UGC04278,spiral,48.64588922589548,1169.5013414214916,1170.7202172463599,123.89027659612879,2975.366638307091,2976.585514131959
UGC04305,uncertain,25.2715972147068,532.7035415088428,533.7945839622012,55.630163282047775,1170.2334289230032,1171.3244713763615
UGC04325,spiral,36.27931202184244,255.95518415289712,256.03462569457696,35.91601835013868,253.41212845097076,253.4915699926506
UGC04483,dwarf,11.075787986473077,79.53051590531155,79.60995744699139,20.053541096537174,142.37478767576022,142.45422921744006
UGC04499,spiral,37.442183211739845,301.53746569391876,301.734690271255,34.043696587318834,274.3495726985507,274.5467972758869
UGC05005,spiral,57.331833782098364,575.3183378209836,575.716233093782,90.02997076267839,902.2997076267839,902.6976028995822
UGC05253,super-spiral,73.18827985398372,5271.556149486827,5273.8466089279755,91.6766940733007,6602.72197327765,6605.012432718799
UGC05414,uncertain,22.857376006249417,116.28688003124708,116.07863950047513,25.83847214772827,131.19236073864136,130.9841202078694
UGC05716,spiral,32.69271990401049,361.6199189441154,362.1048255939034,24.342303554567923,269.76533910024716,270.25024575003516
UGC05721,spiral,36.73020874267484,810.0645923388465,811.2000865547757,76.56946934163426,1686.5283255159536,1687.6638197318828
UGC05750,spiral,62.912561819820006,631.1256181982001,631.5235134709984,167.78378604207882,1679.837860420788,1680.2357556935865
UGC05764,uncertain,18.42060615756916,167.78545541812244,168.08804051111647,23.326532891577273,211.93879602419545,212.2413811171895
UGC05829,spiral,31.173448993557418,313.7344899355742,314.13238520837257,35.64093611530113,358.4093611530113,358.80725642580967
UGC05918,dwarf,19.0718318621707,135.5028230351949,135.58226457687473,17.476098125254094,124.33268687677867,124.41212841845851
UGC05986,spiral,62.27774850505957,873.888479070834,874.5965292719362,74.61000026358792,1046.5400036902308,1047.248053891333
UGC05999,spiral,54.29844157466843,219.19376629867372,218.8032042111078,34.58279547157482,140.33118188629928,139.94061979873337
UGC06399,spiral,45.71445417990807,367.71563343926454,367.91285801660075,47.18700619839372,379.49604958714974,379.69327416448596
UGC06446,spiral,39.87834094515776,640.0534551225242,640.8866684665803,38.35685411449927,615.7096658319883,616.5428791760445
UGC06614,super-spiral,99.77919126809485,1199.3502952171382,1199.9152445745997,34.92468015850995,421.09616190211943,421.661111259581
UGC06628,uncertain,19.75256792425466,120.51540754552795,120.46131769458326,10.882725996576788,67.29635597946073,67.24226612851604
UGC06667,spiral,44.0260643369069,354.2085146952552,354.4057392725914,43.02851571155183,346.22812569241466,346.4253502697509
UGC06786,super-spiral,88.8324143144897,3910.6262298375464,3912.4328923273165,111.81599305700283,4921.903694508124,4923.710356997894
UGC06787,super-spiral,84.33930573399499,5905.751401379649,5908.014081256691,126.18956044998231,8835.269231498762,8837.531911375803
UGC06818,spiral,31.82238650775933,224.75670555431532,224.83614709599516,31.78095698173448,224.46669887214136,224.5461404138212
UGC06917,spiral,50.21322718031648,504.1322718031648,504.5301670759632,23.618396713622406,238.18396713622406,238.58186240902242
UGC06923,spiral,30.677713006782806,155.38856503391403,155.1803245031421,25.646482093992354,130.23241046996176,130.02416993918982
UGC06930,spiral,50.239683556156635,454.1571520054097,454.45973709840376,37.458399524488264,339.12559572039436,339.4281808133884
UGC06973,spiral,76.66880396399156,615.3504317119325,615.5476562892687,14.04289960593965,114.3431968475172,114.54042142485342
UGC06983,spiral,53.31844110623037,855.0950576996859,855.928271043742,27.30071759758041,438.81148156128654,439.64469490534276
UGC07089,spiral,36.852511685323435,407.3776285385578,407.8625351883458,40.749673618184886,450.24640980003375,450.73131644982175
UGC07125,spiral,34.09650665842445,411.15807990109346,411.723029258555,28.132025106784898,339.5843012814188,340.14925063888035
UGC07151,spiral,34.68094969785566,348.8094969785566,349.207392251355,37.77151167756795,379.7151167756795,380.1130120484779
UGC07232,dwarf,10.365663672242148,33.09699101672644,32.48328537784633,15.221336700528212,47.66401010158464,47.050304462704524
UGC07261,spiral,33.531743834885866,203.19046300931518,203.1363731583705,18.905838135679318,115.4350288140759,115.38093896313121
UGC07323,spiral,35.14823246151002,318.3340921535902,318.6366772465842,39.11467422917005,354.0320680625304,354.33465315552445
UGC07399,spiral,39.90079789174077,361.10718102566693,361.40976611866097,37.2049617759462,336.8446559835158,337.14724107650983
UGC07524,spiral,41.412727705852504,1244.3818311755751,1245.8158183800604,59.6095800899973,1790.287402699919,1791.7213899044043
UGC07559,dwarf,15.62591623253831,95.75549739522987,95.70140754428517,15.83102963571426,96.98617781428557,96.93208796334088
UGC07577,dwarf,6.910109056937381,57.28087245549905,57.47809703283527,8.266936377110493,68.13549101688395,68.33271559422016
UGC07603,uncertain,25.218051534464372,279.3985668791081,279.8834735288961,34.043459880786315,376.47805868864947,376.96296533843747
UGC07608,uncertain,31.906970428860028,225.3487930020202,225.42823454370003,42.7337409434589,301.1361866042123,301.21562814589214
UGC07690,uncertain,19.61228680861814,119.67372085170885,119.61963100076416,11.232371374153852,69.39422824492311,69.34013839397842
